type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
机器零件,30,74,116.2588246,28.35776107,121.550738,29.87996619,2023/2/1 14:58,2023/2/2 19:59,3300
生鲜果蔬,34,74,115.8391593,28.66832714,119.9347993,28.45712857,2023/2/1 13:01,2023/2/2 20:55,2600
砂石散货,18,59,115.9000939,28.67789321,117.97059,28.45,2023/2/1 11:56,2023/2/2 23:49,1350
砂石散货,19,70,115.8572286,28.65595929,122.2102064,30.00493,2023/2/1 14:35,2023/2/3 1:51,1500
机器零件,19,59,114.9302932,25.86991536,120.95032,28.13012,2023/2/1 12:44,2023/2/2 16:31,1500
机器零件,17,48,116.0294879,25.87953143,116.62011,28.23,2023/2/1 8:54,2023/2/2 15:40,1000
机器零件,31,67,114.9292225,25.8693875,119.2806308,29.48013333,2023/2/1 10:56,2023/2/2 19:24,3200
日用百货,18,40,114.9789571,27.11924357,122.11056,30.02509571,2023/2/1 14:15,2023/2/3 2:10,6000
五金机械,20,50,114.9786918,27.11909964,120.4313575,30.87996964,2023/2/1 12:42,2023/2/2 16:59,3300
日用百货,19,66,114.8984264,27.04895571,117.97059,28.45,2023/2/1 15:33,2023/2/3 1:57,1350
五金机械,17,62,114.6181611,27.37881179,113.869424,27.649174,2023/2/1 13:18,2023/2/2 21:35,1400
五金机械,17,49,114.9778957,27.11866786,119.2806308,29.48013333,2023/2/1 13:01,2023/2/2 20:14,3200
砂石散货,29,88,114.2676304,26.71852393,115.88024,29.62008,2023/2/1 10:52,2023/2/2 12:00,1350
砂石散货,33,66,114.377365,27.79838,122.2102064,30.00493,2023/2/1 15:33,2023/2/3 0:00,6830
日用百货,18,45,115.9207396,28.63065607,116.02983,25.87993,2023/2/1 13:26,2023/2/2 21:12,1500
五金机械,33,83,115.7306643,28.72043214,121.5507608,29.87991726,2023/2/1 9:09,2023/2/2 18:18,1500
五金机械,20,65,115.9499489,28.67959821,119.9348957,28.45723286,2023/2/1 11:09,2023/2/2 19:28,2600
五金机械,32,88,116.6803726,28.7000444,121.8707685,29.47990095,2023/2/1 10:51,2023/2/2 13:42,3300
机器零件,29,75,115.8140112,28.69336236,120.0751418,29.30187465,2023/2/1 14:54,2023/2/2 16:30,2900
砂石散货,33,91,115.5412229,28.84042643,119.7210368,30.23006857,2023/2/1 12:24,2023/2/2 14:55,2900
五金机械,32,67,116.2584345,28.3574905,120.7005276,27.99955619,2023/2/1 14:14,2023/2/2 15:58,3200
五金机械,18,41,115.8404361,28.67001457,119.6540071,29.08135928,2023/2/1 9:28,2023/2/2 16:07,2900
五金机械,19,66,115.8974878,28.67698864,120.743385,28.87646571,2023/2/1 14:39,2023/2/2 19:50,3200
机器零件,31,89,115.8568394,28.65616271,121.5511698,29.88067619,2023/2/1 14:18,2023/2/2 22:31,3300
砂石散货,32,64,115.9046911,28.61383679,120.4008522,27.49972154,2023/2/1 15:52,2023/2/2 20:24,3200
机器零件,30,88,115.3686907,28.41897286,120.1306138,30.27011095,2023/2/1 9:11,2023/2/2 14:25,3200
五金机械,18,55,116.3497354,27.99938893,120.74934,30.74973,2023/2/1 8:11,2023/2/2 14:34,3200
机器零件,29,67,116.34893,27.979005,120.680837,28.14975417,2023/2/1 11:36,2023/2/2 14:33,2600
日用百货,17,53,116.5292646,27.21910107,121.3911933,28.58462322,2023/2/1 11:54,2023/2/2 22:21,3200
日用百货,20,65,116.6193093,28.22911714,119.6540071,29.08135928,2023/2/1 9:23,2023/2/2 20:01,1350
五金机械,17,65,116.5293539,27.21913321,120.5747635,30.00170285,2023/2/1 12:21,2023/2/2 18:43,2900
生鲜果蔬,18,70,117.9693986,28.44914929,120.5747635,30.00170285,2023/2/1 9:00,2023/2/2 9:05,1350
生鲜果蔬,31,90,117.9493253,28.42907965,121.2305124,30.16958881,2023/2/1 11:00,2023/2/2 13:20,1350
砂石散货,18,59,116.679333,28.69906333,119.970601,30.52962607,2023/2/1 10:44,2023/2/2 19:52,1350
机器零件,29,69,117.8493406,29.24904702,121.5509027,29.87018381,2023/2/1 14:50,2023/2/2 16:29,2900
生鲜果蔬,18,41,116.2703571,28.37025357,121.3841786,28.37661143,2023/2/1 11:43,2023/2/2 21:24,3200
机器零件,17,63,115.8588818,28.68892964,120.0751418,29.30187465,2023/2/1 9:17,2023/2/2 16:42,2900
机器零件,33,78,115.9003064,28.68020571,119.71786,27.56894,2023/2/1 8:23,2023/2/2 18:14,2600
日用百货,31,93,115.8692411,28.66897179,120.95032,28.13012,2023/2/1 8:17,2023/2/2 8:19,3200
五金机械,18,66,115.9202407,28.62999786,115.78003,25.60028,2023/2/1 12:37,2023/2/2 19:13,1000
砂石散货,33,87,115.7293804,28.71908393,120.7005276,27.99955619,2023/2/1 14:14,2023/2/2 16:46,3200
五金机械,33,87,115.9221217,28.63164333,120.5721139,30.00031322,2023/2/1 15:08,2023/2/2 21:36,3200
机器零件,34,95,115.7319963,28.7213694,117.9507411,28.43057714,2023/2/1 12:23,2023/2/2 14:40,1350
生鲜果蔬,19,64,116.2701543,28.37006214,119.9348957,28.45723286,2023/2/1 12:20,2023/2/2 18:43,2900
砂石散货,18,64,115.8586789,28.68873821,120.62757,27.77879,2023/2/1 15:58,2023/2/3 1:01,3200
日用百货,17,55,115.8216203,28.70054762,118.6298529,28.75476429,2023/2/1 11:33,2023/2/2 14:11,1350
生鲜果蔬,31,85,115.5514949,28.85027369,117.9507411,28.43057714,2023/2/1 12:32,2023/2/2 19:30,1350
生鲜果蔬,31,94,114.9295529,25.37908643,114.37796,27.79928,2023/2/1 14:51,2023/2/2 22:34,2045
砂石散货,30,64,114.3495975,25.3991025,121.7207532,29.94993358,2023/2/1 9:24,2023/2/2 16:43,6830
五金机械,20,48,114.5296421,25.79911857,117.8506081,29.24996952,2023/2/1 11:44,2023/2/2 18:25,2900
砂石散货,17,42,115.3489868,26.32873464,119.6558983,29.08221822,2023/2/1 14:14,2023/2/2 17:39,3200
日用百货,19,68,115.7780314,25.59835071,119.6536289,29.0811875,2023/2/1 15:07,2023/2/3 0:07,2900
砂石散货,33,88,114.9290761,25.86876679,114.3781,27.7988,2023/2/1 9:27,2023/2/2 19:25,2045
砂石散货,29,95,116.0282707,25.87838286,117.05097,28.23076,2023/2/1 9:03,2023/2/2 11:28,1550
砂石散货,17,70,114.9280054,25.86823893,117.0708,28.27012,2023/2/1 15:33,2023/2/3 0:16,1350
机器零件,32,64,114.97774,27.118095,122.11056,30.02509571,2023/2/1 15:11,2023/2/3 1:18,6550
机器零件,20,65,116.6803726,28.7000444,121.8707685,29.47990095,2023/2/1 8:08,2023/2/2 14:08,3300
砂石散货,31,93,116.2640993,28.36367714,120.74934,30.74973,2023/2/1 9:46,2023/2/2 13:55,3200
日用百货,19,68,115.9432339,28.67274321,117.8506081,29.24996952,2023/2/1 11:05,2023/2/2 19:07,1700
生鲜果蔬,20,65,115.92977,28.54948,121.5724357,29.87169143,2023/2/1 14:32,2023/2/2 18:30,6150
